id,name,description,imagesUrl,level,type,highlight,repositoryUrl
1,The Attorney,The Attorney é um site para um escritório de advocacia especializado em Imigração em Portugal.,"[""https://github.com/claudio-lins-dev/the-attorney/blob/main/assets/the-attorney-cover.jpg?raw=true""]",2,WEB,true,https://github.com/claudio-lins-dev/the-attorney
2,VCA Invest,Este projeto é uma aplicação web desenvolvida para o segmento de investimentos financeiros.,"[""https://github.com/claudio-lins-dev/vca-invest/blob/main/assets/02.jpg?raw=true"",""https://github.com/claudio-lins-dev/vca-invest/blob/main/assets/01.jpg?raw=true"",""https://github.com/claudio-lins-dev/vca-invest/blob/main/assets/03.jpg?raw=true"",""https://github.com/claudio-lins-dev/vca-invest/blob/main/assets/04.jpg?raw=true"",""https://github.com/claudio-lins-dev/vca-invest/blob/main/assets/05.jpg?raw=true"",""https://github.com/claudio-lins-dev/vca-invest/blob/main/assets/06.jpg?raw=true"",""https://github.com/claudio-lins-dev/vca-invest/blob/main/assets/08.jpg?raw=true""]",4,WEB,true,https://github.com/claudio-lins-dev/vca-invest
3,Sintoniza-t,Site Sintoniza-t,"[""https://github.com/claudio-lins-dev/sintoniza-t/blob/main/assets/01.jpg?raw=true"",""https://github.com/claudio-lins-dev/sintoniza-t/blob/main/assets/02.jpg?raw=true"",""https://github.com/claudio-lins-dev/sintoniza-t/blob/main/assets/03.jpg?raw=true"",""https://github.com/claudio-lins-dev/sintoniza-t/blob/main/assets/04.jpg?raw=true"",""https://github.com/claudio-lins-dev/sintoniza-t/blob/main/assets/05.jpg?raw=true""]",5,WEB,true,https://github.com/claudio-lins-dev/sintoniza-t
4,Chefz Mate - Mobile,Este projeto é um aplicativo mobile desenvolvido para o setor de restaurantes na Nova Zelândia.,"[""https://github.com/claudio-lins-dev/chefz-mate-mobile/blob/main/assets/01.jpeg?raw=true"",""https://github.com/claudio-lins-dev/chefz-mate-mobile/blob/main/assets/02.jpeg?raw=true"",""https://github.com/claudio-lins-dev/chefz-mate-mobile/blob/main/assets/%2003.jpeg?raw=true"",""https://github.com/claudio-lins-dev/chefz-mate-mobile/blob/main/assets/04.jpeg?raw=true"",""https://github.com/claudio-lins-dev/chefz-mate-mobile/blob/main/assets/05.jpeg?raw=true"",""https://github.com/claudio-lins-dev/chefz-mate-mobile/blob/main/assets/06.jpeg?raw=true""]",4,MOBILE,true,https://github.com/claudio-lins-dev/chefz-mate-mobile
